0, 24887, 33837, 16413, 32441, 32799, 22255, 29361, 16858, 21504, 29008, 35316, 36030, 11190, 27436, 29777
26090, 0, 8359, 11337, 6962, 7321, 10737, 3518, 11183, 7975, 11705, 9838, 10551, 19589, 11968, 13746
34754, 8553, 0, 23076, 4061, 1145, 11183, 4403, 16431, 10666, 7581, 1700, 855, 28253, 10212, 10954
17083, 13315, 22266, 0, 11068, 21228, 4127, 11704, 702, 6030, 11822, 23745, 24459, 5728, 10250, 9758
34290, 8088, 4059, 11066, 0, 3319, 7610, 4590, 10912, 6793, 3973, 5170, 5883, 29234, 6604, 7004
33716, 7515, 1145, 22038, 2844, 0, 10145, 3573, 15393, 11868, 7696, 3220, 2061, 27215, 10077, 9737 
20379, 10586, 11097, 4094, 7468, 10059, 0, 9248, 3941, 2849, 7927, 12905, 13619, 8392, 6336, 6015
29883, 3409, 4353, 11695, 4574, 3550, 9289, 0, 11639, 6526, 10589, 8722, 5220, 23381, 10857, 11257 
17741, 11478, 13966, 702, 11174, 12758, 3973, 11768, 0, 5369, 11669, 15602, 16315, 5290, 10096, 9604 
23371, 7972, 10744, 5404, 6660, 8429, 2877, 6633, 5348, 0, 7076, 11273, 11986, 10174, 5974, 8933
29378, 12576, 7524, 11680, 3971, 7044, 7062, 9439, 11527, 7085, 0, 5890, 7524, 18466, 3613, 3309 
36075, 9873, 1717, 24397, 4610, 3008, 12599, 8278, 17751, 14227, 5972, 0, 1481, 29599, 8603, 8572
36830, 10628, 855, 25152, 4926, 2306, 13353, 9033, 18506, 14982, 7763, 1539, 0, 30354, 10394, 17097
12190, 20020, 28970, 5728, 27574, 27932, 8485, 24494, 5290, 10195, 18643, 29804, 30518, 0, 17071, 19412
27823, 15337, 10178, 10126, 6625, 9698, 6014, 10926, 9972, 6710, 3596, 8544, 10178, 16912, 0, 2232
30037, 14652, 11199, 9784, 7531, 10191, 6279, 11832, 9630, 6975, 3370, 9451, 18237, 19126, 2669, 0
